order_id,customer_id,segment,date,product,category,region,city,quantity,unit_price,discount,Revenue ,Profit
ORD-000001,CUST-3233,Consumer,2022-07-29,Notebook,Office Supplies,West,San Francisco,8,11.55,0.1,83.16,31.04
ORD-000002,CUST-3932,Corporate,2022-02-24,Office Chair,Furniture,West,Denver,1,329.47,0.0,329.47,61.15
ORD-000003,CUST-2393,Consumer,2022-11-23,Filing Cabinet,Furniture,East,,5,156.14,0.25,585.52,134.73
ORD-000004,CUST-3472,Consumer,2024-01-06,Headphones,Technology,West,Los Angeles,1,191.24,0.0,191.24,43.41
ORD-000005,CUST-3574,Corporate,2022-06-11,SSD Drive,Technology,South,Tampa,1,142.97,0.0,142.97,21.19
ORD-000006,CUST-1326,Home Office,2023-04-12,Scissors,Office Supplies,Central,Chicago,2,9.05,0.05,17.2,6.06
ORD-000007,CUST-1858,Corporate,2022-11-30,Highlighters,Office Supplies,East,Philadelphia,1,13.71,0.1,12.34,4.46
ORD-000008,CUST-2105,Home Office,2022-12-01,Pen Set,Office Supplies,East,Boston,1,16.05,0.0,16.05,5.4
ORD-000009,CUST-2292,Consumer,2023-04-15,Tape Dispenser,Office Supplies,Central,Chicago,4,10.86,0.05,41.27,13.21
ORD-000010,CUST-3633,Consumer,2024-03-21,Printer,Technology,West,Phoenix,3,281.2,0.15,717.06,96.55
ORD-000011,CUST-1566,Corporate,2024-03-28,Mouse,Technology,Central,Minneapolis,1,46.45,0.1,41.81,5.71
ORD-000012,CUST-2576,Consumer,2024-05-14,Laptop,Technology,West,San Francisco,8,1361.6,0.0,10892.8,2296.64
ORD-000013,CUST-3199,Corporate,2022-08-23,Tape Dispenser,Office Supplies,South,New Orleans,1,10.36,0.1,9.32,3.43
ORD-000014,CUST-1731,Corporate,2024-12-17,Binder,Office Supplies,West,San Francisco,1,8.84,0.0,8.84,3.09
ORD-000015,CUST-3453,Consumer,2024-12-22,Webcam,Technology,West,San Francisco,6,81.73,0.05,465.86,72.62
ORD-000016,CUST-3181,Corporate,2023-11-25,Headphones,Technology,West,San Francisco,2,188.78,0.1,339.8,61.85
ORD-000017,CUST-3208,Corporate,2024-05-16,SSD Drive,Technology,West,Denver,1,131.82,0.0,131.82,29.92
ORD-000018,CUST-2849,Consumer,2024-06-16,Sticky Notes,Office Supplies,South,Charlotte,7,6.5,0.2,36.4,14.18
ORD-000019,CUST-1276,Home Office,2024-11-08,Headphones,Technology,East,Boston,7,185.29,0.0,1297.03,180.09
ORD-000020,CUST-3962,Home Office,2023-03-15,Pen Set,Office Supplies,West,,1,16.36,0.05,15.54,5.17
ORD-000021,CUST-2734,Consumer,2024-12-12,Storage Ottoman,Furniture,Central,Minneapolis,1,106.33,0.05,101.01,25.54
ORD-000022,CUST-1779,Corporate,2022-08-12,Notebook,Office Supplies,West,Seattle,1,11.48,0.0,11.48,4.07
ORD-000023,CUST-3254,Consumer,2024-06-26,Keyboard,Technology,East,New York,5,75.84,0.1,341.28,46.91
ORD-000024,CUST-2971,Consumer,2022-12-07,Tape Dispenser,Office Supplies,South,Nashville,4,12.61,0.0,50.44,16.13
ORD-000025,CUST-2863,Consumer,2023-06-28,Office Chair,Furniture,East,Miami,5,272.53,0.0,1362.65,327.97
ORD-000026,CUST-3372,Corporate,2023-03-22,Tape Dispenser,Office Supplies,West,Seattle,4,11.76,0.25,35.28,10.85
ORD-000027,CUST-3175,Consumer,2024-10-26,Headphones,Technology,West,Phoenix,1,172.36,0.0,172.36,37.28
ORD-000028,CUST-3333,Consumer,2023-04-27,Pen Set,Office Supplies,West,Los Angeles,2,18.67,0.0,37.34,11.44
ORD-000029,CUST-2068,Consumer,2024-12-06,Standing Desk,Furniture,Central,Kansas City,2,641.44,0.2,1026.3,249.35
ORD-000030,CUST-1297,Consumer,2024-07-25,Paper Ream,Office Supplies,East,Philadelphia,6,8.33,0.1,44.98,15.62
ORD-000031,CUST-2429,Home Office,2024-11-02,Scissors,Office Supplies,West,San Francisco,4,8.86,0.0,35.44,13.33
ORD-000032,CUST-3678,Corporate,2023-09-12,Binder,Office Supplies,West,Denver,4,9.17,0.1,33.01,11.53
ORD-000033,CUST-1438,Corporate,2022-10-03,Tape Dispenser,Office Supplies,South,New Orleans,2,11.08,0.1,19.94,6.03
ORD-000034,CUST-2028,Home Office,2023-06-25,Webcam,Technology,Central,Dallas,1,83.82,0.05,79.63,15.42
ORD-000035,CUST-1535,Corporate,2022-01-08,Pen Set,Office Supplies,Central,Chicago,2,17.0,0.2,27.2,10.63
ORD-000036,CUST-3830,Home Office,2022-06-04,SSD Drive,Technology,East,New York,2,120.22,0.2,192.35,39.54
ORD-000037,CUST-1163,Home Office,2023-09-24,Desk Lamp,Furniture,East,New York,1,59.71,0.0,59.71,11.88
ORD-000038,CUST-1633,Home Office,2024-04-12,Mouse,technology,East,Atlanta,7,40.43,0.0,283.01,59.66
ORD-000039,CUST-2360,Corporate,2023-01-03,Keyboard,Technology,South,New Orleans,6,88.4,0.0,530.4,111.58
ORD-000040,CUST-2927,Consumer,2024-02-23,Filing Cabinet,Furniture,West,Los Angeles,6,163.07,0.1,880.58,197.19
ORD-000041,CUST-2141,Home Office,2022-12-11,Calendar,Office Supplies,East,Boston,6,17.48,0.15,89.15,29.58
ORD-000042,CUST-1472,Home Office,2023-11-10,Sticky Notes,Office Supplies,East,Miami,1,5.3,0.15,4.5,1.54
ORD-000043,CUST-2284,Consumer,2024-06-08,Printer,Technology,West,Denver,5,306.71,0.1,1380.19,180.38
ORD-000044,CUST-3205,Corporate,2023-11-17,Pen Set,Office Supplies,South,Nashville,2,18.06,0.2,28.9,9.31
ORD-000045,CUST-1510,Corporate,2023-10-05,Paper Ream,Office Supplies,East,Philadelphia,2,7.09,0.15,12.05,4.75
ORD-000046,CUST-1712,Corporate,2024-12-22,Webcam,Technology,East,Philadelphia,2,89.96,0.2,143.94,28.83
ORD-000047,CUST-3484,Corporate,2024-05-30,Tablet,Technology,East,Boston,9,479.54,0.0,4315.86,976.44
ORD-000048,CUST-3719,Corporate,2022-06-23,Storage Ottoman,Furniture,East,Boston,2,101.81,0.05,193.44,38.7
ORD-000049,CUST-1298,Consumer,2022-12-20,Mouse,Technology,West,San Francisco,1,42.1,0.1,37.89,7.24
ORD-000050,CUST-1604,Corporate,2024-10-09,Scissors,Office Supplies,Central,Minneapolis,1,10.01,0.05,9.51,3.12
ORD-000051,CUST-1546,Corporate,2022-11-15,Monitor,Technology,West,Denver,1,392.87,0.2,314.3,45.41
ORD-000052,CUST-3244,Consumer,2024-10-30,Tape Dispenser,Office Supplies,South,Tampa,9,10.97,0.15,83.92,27.21
ORD-000053,CUST-3135,Consumer,2023-07-22,SSD Drive,Technology,West,San Francisco,4,136.71,0.25,410.13,63.06
